signal_date,stock_code,stock_name,rank,rule_score,buy_price,sell_date,sell_price,hold_days,pnl_ratio,status,stop_loss_triggered,exit_reason,market_score
2025-07-29,600933,爱柯迪,5,75.74609752531349,17.0,2025-07-30,16.92,1,-0.004705882352941076,CLOSED,0,t1_close_exit,60
2025-07-30,689009,九号公司,1,83.45775250672281,60.73206348,2025-07-31,60.09654156,1,-0.01046435578809683,CLOSED,0,t1_close_exit,60
2025-07-30,603207,小方制药,2,82.27617328519855,34.63048404,2025-07-31,33.5915695188,1,-0.029999999999999968,CLOSED,1,t1_intraday_stop_loss,60
2025-07-30,000423,东阿阿胶,3,79.12009946048778,50.99328464,2025-07-31,50.3300208,1,-0.01300688599846976,CLOSED,0,t1_close_exit,60
2025-07-30,002380,科远智慧,4,77.25904396807522,25.4,2025-07-31,25.8,1,0.01574803149606308,CLOSED,0,t1_close_exit,60
2025-07-30,000538,云南白药,5,76.92922533170488,54.7775316,2025-07-31,53.4991984,1,-0.02333681644026482,CLOSED,0,t1_close_exit,60
2025-07-31,002851,麦格米特,1,82.8750204041281,59.38,2025-08-01,59.39,1,0.0001684068710003033,CLOSED,0,t1_close_exit,60
2025-07-31,000034,神州数码,2,79.22439386094581,41.4,2025-08-01,40.157999999999994,1,-0.030000000000000106,CLOSED,1,t1_intraday_stop_loss,60
2025-07-31,600557,康缘药业,3,78.76212008183089,17.66,2025-08-01,17.8,1,0.00792751981879958,CLOSED,0,t1_close_exit,60
2025-07-31,000681,视觉中国,4,78.1532932669063,21.51876156,2025-08-01,21.69858408,1,0.008356545961002706,CLOSED,0,t1_close_exit,60
2025-07-31,601567,三星电气,5,77.76976621990146,22.0402,2025-08-01,22.2166,1,0.00800355713650516,CLOSED,0,t1_close_exit,60
2025-08-04,605319,无锡振华,1,79.20102420864366,22.60455681,2025-08-05,23.34882726,1,0.03292568203198504,CLOSED,0,t1_close_exit,60
2025-08-04,000099,中信海直,2,78.86751017309365,23.18613225,2025-08-05,23.59500598,1,0.01763440860215053,CLOSED,0,t1_close_exit,60
2025-08-04,002824,和胜股份,3,77.74922484351416,17.44,2025-08-05,17.42,1,-0.0011467889908256636,CLOSED,0,t1_close_exit,60
2025-08-04,600764,中国海防,4,76.74132256681952,36.053571,2025-08-05,35.84442045,1,-0.005801104972375603,CLOSED,0,t1_close_exit,60
2025-08-04,600161,天坛生物,5,76.53692545609783,20.70738096,2025-08-05,20.89590048,1,0.00910397700047932,CLOSED,0,t1_close_exit,60
2025-08-05,002870,香山股份,1,82.38549740798958,35.41,2025-08-06,35.06,1,-0.009884213499011418,CLOSED,0,t1_close_exit,60
2025-08-05,002881,美格智能,2,81.84249737283429,49.3,2025-08-06,50.64,1,0.027180527383367212,CLOSED,0,t1_close_exit,60
2025-08-05,002943,宇晶股份,3,80.9841351831676,28.87,2025-08-06,28.0039,1,-0.029999999999999978,CLOSED,1,t1_intraday_stop_loss,60
2025-08-05,002189,中光学,4,80.69039051805665,27.99,2025-08-06,28.89,1,0.03215434083601294,CLOSED,0,t1_close_exit,60
2025-08-05,002747,埃斯顿,5,78.79425458878268,23.24,2025-08-06,24.21,1,0.04173838209982799,CLOSED,0,t1_close_exit,60
2025-08-06,002472,双环传动,1,83.70912649594106,36.1995837,2025-08-07,35.84107338,1,-0.009903713892709783,CLOSED,0,t1_close_exit,60
2025-08-06,003021,兆威机电,2,81.64760984992688,121.91,2025-08-07,120.68,1,-0.010089410220654498,CLOSED,0,t1_close_exit,60
2025-08-06,603416,信捷电气,3,80.16934746847008,57.9854618,2025-08-07,57.17406114,1,-0.013993174061433513,CLOSED,0,t1_close_exit,60
2025-08-06,002733,雄韬股份,4,79.096919505002,17.44,2025-08-07,18.63,1,0.06823394495412831,CLOSED,0,t1_close_exit,60
2025-08-06,000581,威孚高科,5,78.73727745378474,20.47379411,2025-08-07,20.11547783,1,-0.017501215362177948,CLOSED,0,t1_close_exit,60
2025-08-07,002947,恒铭达,1,85.0,35.6758763,2025-08-08,36.13300452,1,0.01281337047353764,CLOSED,0,t1_close_exit,60
2025-08-07,600460,士兰微,2,81.64565243602038,27.72,2025-08-08,26.888399999999997,1,-0.03000000000000006,CLOSED,1,t1_intraday_stop_loss,60
2025-08-07,001316,润贝航科,3,81.11801499951888,35.9078874,2025-08-08,35.59134404,1,-0.0088154269972451,CLOSED,0,t1_close_exit,60
2025-08-07,603057,紫燕食品,4,78.79802912009325,21.64,2025-08-08,22.35,1,0.03280961182994459,CLOSED,0,t1_close_exit,60
2025-08-07,002008,大族激光,5,77.57572355061092,29.13,2025-08-08,30.8,1,0.057329213868863776,CLOSED,0,t1_close_exit,60
2025-08-08,600487,亨通光电,1,77.30378688291466,16.97,2025-08-11,17.65,1,0.04007071302298172,CLOSED,0,t1_close_exit,60
2025-08-08,603887,城地香江,2,76.63305859798362,18.16,2025-08-11,18.26,1,0.005506607929515497,CLOSED,0,t1_close_exit,60
2025-08-08,001206,依依股份,3,75.79475504909422,26.60281344,2025-08-11,25.804729036799998,1,-0.03000000000000003,CLOSED,1,t1_intraday_stop_loss,60
2025-08-08,605369,拱东医疗,4,75.44158926405902,20.96,2025-08-11,20.83,1,-0.006202290076336,CLOSED,0,t1_close_exit,60
2025-08-08,002202,金风科技,5,75.42321506237101,10.01095515,2025-08-11,10.10958525,1,0.00985221674876859,CLOSED,0,t1_close_exit,60
2025-08-11,001301,尚太科技,1,84.08680410374637,54.49,2025-08-12,54.5,1,0.00018351991191040576,CLOSED,0,t1_close_exit,60
2025-08-11,600809,山西汾酒,2,83.23615270286817,186.62,2025-08-12,186.8,1,0.0009645268459972501,CLOSED,0,t1_close_exit,60
2025-08-11,000596,古井贡酒,3,82.86942675159231,145.62668362,2025-08-12,145.17017364,1,-0.0031347962382444645,CLOSED,0,t1_close_exit,60
2025-08-11,600363,联创光电,4,82.5747663551402,59.15,2025-08-12,60.21,1,0.017920540997464113,CLOSED,0,t1_close_exit,60
2025-08-11,001309,德明利,5,81.71512769544522,93.83118564,2025-08-12,95.67923944,1,0.01969551793889069,CLOSED,0,t1_close_exit,60
2025-08-12,000977,浪潮信息,1,82.20131445951155,56.25,2025-08-13,58.39,1,0.03804444444444446,CLOSED,0,t1_close_exit,60
2025-08-12,603297,永新光学,2,80.9046324412537,92.03,2025-08-13,94.25,1,0.024122568727588816,CLOSED,0,t1_close_exit,60
2025-08-12,000818,航锦科技,3,79.00441514867987,22.87,2025-08-13,23.73,1,0.03760384783559245,CLOSED,0,t1_close_exit,60
2025-08-12,600729,重庆百货,4,78.75557991933398,31.29848632,2025-08-13,30.359531730399997,1,-0.03000000000000005,CLOSED,1,t1_intraday_stop_loss,60
2025-08-12,002961,瑞达期货,5,77.75300391291992,22.23079762,2025-08-13,22.46877226,1,0.010704727921498703,CLOSED,0,t1_close_exit,60
2025-08-13,603501,豪威集团,1,82.67270723271929,123.76142031,2025-08-14,122.41607916,1,-0.010870440454142927,CLOSED,0,t1_close_exit,60
