signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type,filter_detail,skipped_count
2025-10-21,83,0,0,,,fused,"{'index_ret_20d': -0.00964511026864967, 'market_limit_up_count': 83, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-22,60,0,0,,,fused,"{'index_ret_20d': -0.022905735025845697, 'market_limit_up_count': 60, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-23,61,0,0,,,fused,"{'index_ret_20d': -0.03265653299426474, 'market_limit_up_count': 61, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-24,58,0,0,,,fused,"{'index_ret_20d': -0.007646325063847659, 'market_limit_up_count': 58, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-27,55,4,4,-0.011964054155644803,0.5581594917451007,signal,,0.0
2025-10-28,60,0,0,,,fused,"{'index_ret_20d': -0.0013695213471487389, 'market_limit_up_count': 60, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-29,76,4,4,-0.07543891267070983,0.5160525465910143,signal,,0.0
2025-10-30,51,0,0,,,fused,"{'index_ret_20d': -0.006521841273060436, 'market_limit_up_count': 51, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-31,61,4,4,0.03318887956119116,0.5331797524070695,signal,,0.0
2025-11-03,67,5,5,0.038274536781412405,0.5535869604516782,signal,,0.0
2025-11-04,52,0,0,,,fused,"{'index_ret_20d': -0.008282395268711773, 'market_limit_up_count': 52, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-05,70,0,0,,,fused,"{'index_ret_20d': -0.014534724460040227, 'market_limit_up_count': 70, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-06,64,0,0,,,fused,"{'index_ret_20d': -0.012581242909959212, 'market_limit_up_count': 64, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-07,57,5,5,-0.03295462712356249,0.5353437085895268,signal,,0.0
2025-11-10,73,5,5,-0.053013378867553265,0.5069633297417092,signal,,0.0
2025-11-11,71,4,4,0.006890063534347709,0.510456339293214,signal,,0.0
2025-11-12,59,5,5,-0.02560471864263277,0.49738624834626294,signal,,0.0
2025-11-13,94,5,3,0.06958955531324378,0.531999136187602,signal,,2.0
2025-11-14,72,3,3,-0.022556129342279994,0.5199992948617732,signal,,0.0
2025-11-17,90,5,5,-0.013302472783895744,0.5130820183942295,signal,,0.0
2025-11-18,45,0,0,,,fused,"{'index_ret_20d': 0.01416848230954959, 'market_limit_up_count': 45, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-19,56,3,3,0.03545450032254853,0.5312730849808817,signal,,0.0
2025-11-20,41,0,0,,,fused,"{'index_ret_20d': 0.0044215328774281915, 'market_limit_up_count': 41, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-21,28,0,0,,,fused,"{'index_ret_20d': -0.04738116530882219, 'market_limit_up_count': 28, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-24,67,0,0,,,fused,"{'index_ret_20d': -0.04522437345763386, 'market_limit_up_count': 67, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-25,81,0,0,,,fused,"{'index_ret_20d': -0.030654796803035955, 'market_limit_up_count': 81, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-26,70,0,0,,,fused,"{'index_ret_20d': -0.042365311568046904, 'market_limit_up_count': 70, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-27,55,0,0,,,fused,"{'index_ret_20d': -0.03041127789463982, 'market_limit_up_count': 55, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-11-28,72,0,0,,,fused,"{'index_ret_20d': -0.022974885685073665, 'market_limit_up_count': 72, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
