signal_date,stock_code,stock_name,rank,board_score,board_streak,signal_close,t1_date,t2_date,buy_price,sell_date,sell_price,hold_days,ride_days,pnl_ratio,status,exit_reason,market_score,index_ret_20d,market_limit_up_count,concept_limit_up_count
2025-09-11,002384,东山精密,2,76.5,2,79.44,2025-09-12,2025-09-15,79.88744999999999,2025-09-15,77.65,2,0,-0.028007528091082912,CLOSED,t2_close_exit,95,0.06068913183825453,95,22
2025-09-11,000035,中国天楹,3,67.75,1,5.21,2025-09-12,2025-09-15,5.205899999999999,2025-09-15,5.01,2,0,-0.037630380913962834,CLOSED,t2_close_exit,95,0.06068913183825453,95,0
2025-09-11,000586,汇源通信,4,67.75,1,13.96,2025-09-12,2025-09-15,13.728299999999999,2025-09-15,13.2,2,0,-0.0384825506435611,CLOSED,t2_close_exit,95,0.06068913183825453,95,0
2025-09-11,000750,国海证券,5,67.75,1,4.89913908,2025-09-12,2025-09-15,4.823357081399999,2025-09-15,4.74947088,2,0,-0.015318418303492867,CLOSED,t2_close_exit,95,0.06068913183825453,95,0
2025-09-12,603516,淳中科技,1,80.0,4,150.8,2025-09-15,2025-09-16,158.79,2025-09-16,154.0,2,0,-0.03016562755841043,CLOSED,t2_close_exit,68,0.0429059300448289,68,6
2025-09-12,001202,炬申股份,2,76.5,2,18.39,2025-09-15,2025-09-16,18.813599999999997,2025-09-16,18.21,2,0,-0.032083173874218475,CLOSED,t2_close_exit,68,0.0429059300448289,68,0
2025-09-12,002772,众兴菌业,3,76.5,2,10.00739317,2025-09-15,2025-09-16,9.97768837065,2025-09-16,10.20575577,2,0,0.022857739275649675,CLOSED,t2_close_exit,68,0.0429059300448289,68,0
2025-09-12,603083,剑桥科技,4,76.5,2,101.44767867,2025-09-15,2025-09-16,103.47183424499998,2025-09-16,119.8500017,2,0,0.15828623870936606,CLOSED,t2_close_exit,68,0.0429059300448289,68,6
2025-09-12,605289,罗曼股份,5,76.5,2,53.87,2025-09-15,2025-09-16,54.16949999999999,2025-09-16,54.5,2,0,0.00610121932083567,CLOSED,t2_close_exit,68,0.0429059300448289,68,6
2025-09-15,000559,万向钱潮,2,67.75,1,8.65,2025-09-16,2025-09-17,9.155549999999998,2025-09-17,10.47,2,0,0.1435686550780677,CLOSED,t2_close_exit,71,0.024589498013292355,71,0
2025-09-15,000572,海马汽车,3,67.75,1,5.4,2025-09-16,2025-09-17,5.3767499999999995,2025-09-17,5.24,2,0,-0.02543357976472763,CLOSED,t2_close_exit,71,0.024589498013292355,71,0
2025-09-16,002146,荣盛发展,1,80.0,3,2.12,2025-09-17,2025-09-18,2.0904,2025-09-18,1.82,2,0,-0.12935323383084565,CLOSED,t2_close_exit,74,0.03324368628974583,74,0
2025-09-16,600376,首开股份,2,80.0,3,6.67,2025-09-17,2025-09-18,6.894299999999999,2025-09-18,8.07,2,0,0.1705321787563641,CLOSED,t2_close_exit,74,0.03324368628974583,74,0
